chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
data.jfreechart-master.src.main.java.org.jfree.chart,annotations,5638,2903,0.5148989003192621,257,0.002003497666611915
data.jfreechart-master.src.main.java.org.jfree.chart,api,1355,832,0.6140221402214022,71,0.008648199158047919
data.jfreechart-master.src.main.java.org.jfree.chart,axis,17604,8350,0.4743240172688025,1267,3.7436781157758683E-4
data.jfreechart-master.src.main.java.org.jfree.chart,block,4976,2590,0.5204983922829582,311,0.0016736282710062965
data.jfreechart-master.src.main.java.org.jfree.chart,date,1326,781,0.5889894419306184,94,0.006265845126921472
data.jfreechart-master.src.main.java.org.jfree.chart,encoders,741,522,0.7044534412955465,36,0.019568151147098516
data.jfreechart-master.src.main.java.org.jfree.chart,entity,2577,1572,0.610011641443539,105,0.005809634680414657
data.jfreechart-master.src.main.java.org.jfree.chart,event,1130,929,0.8221238938053097,8,0.10276548672566371
data.jfreechart-master.src.main.java.org.jfree.chart,imagemap,648,457,0.7052469135802469,21,0.03358318636096414
data.jfreechart-master.src.main.java.org.jfree.chart,internal,2143,974,0.4545030331311246,184,0.0024701251800604597
data.jfreechart-master.src.main.java.org.jfree.chart,labels,5471,3296,0.6024492780113325,383,0.0015729746162175785
data.jfreechart-master.src.main.java.org.jfree.chart,legend,3352,1701,0.5074582338902148,196,0.002589072621888851
data.jfreechart-master.src.main.java.org.jfree.chart.plot,compass,2329,1173,0.5036496350364964,164,0.0030710343599786366
data.jfreechart-master.src.main.java.org.jfree.chart.plot,dial,5540,3079,0.5557761732851986,311,0.001787061650434722
data.jfreechart-master.src.main.java.org.jfree.chart.plot,flow,755,300,0.3973509933774834,77,0.005160402511395889
data.jfreechart-master.src.main.java.org.jfree.chart.plot,pie,4329,2100,0.4851004851004851,286,0.0016961555423093883
data.jfreechart-master.src.main.java.org.jfree.chart,plot,25024,12153,0.48565377237851665,2758,1.7608911253753323E-4
data.jfreechart-master.src.main.java.org.jfree.chart.renderer,category,12576,5988,0.4761450381679389,973,4.893576959588273E-4
data.jfreechart-master.src.main.java.org.jfree.chart.renderer,xy,18265,8643,0.4732001094990419,1363,3.471754288327527E-4
data.jfreechart-master.src.main.java.org.jfree.chart,renderer,5734,3146,0.5486571328915243,2849,1.9257884622377126E-4
data.jfreechart-master.src.main.java.org.jfree.chart.swing,editor,3417,1545,0.45215100965759436,175,0.0025837200551862534
data.jfreechart-master.src.main.java.org.jfree.chart,swing,4958,2384,0.48083904800322713,580,8.290328413848744E-4
data.jfreechart-master.src.main.java.org.jfree.chart.text,format,964,562,0.58298755186722,73,0.007986130847496165
data.jfreechart-master.src.main.java.org.jfree.chart,text,2234,1139,0.509847806624888,207,0.002463032882245836
data.jfreechart-master.src.main.java.org.jfree.chart,title,2126,1049,0.49341486359360304,153,0.0032249337489777975
data.jfreechart-master.src.main.java.org.jfree.chart,urls,1553,949,0.6110753380553767,73,0.008370895041854476
data.jfreechart-master.src.main.java.org.jfree.chart,util,1672,918,0.5490430622009569,101,0.005436069922781751
data.jfreechart-master.src.main.java.org.jfree,chart,6541,3278,0.5011466136676349,10016,5.003460599716802E-5
data.jfreechart-master.src.main.java.org.jfree.data,category,2018,1165,0.5773042616451932,112,0.005154502336117797
data.jfreechart-master.src.main.java.org.jfree.data,flow,963,557,0.5784008307372793,62,0.009329045657052892
data.jfreechart-master.src.main.java.org.jfree.data,function,542,366,0.6752767527675276,16,0.04220479704797048
data.jfreechart-master.src.main.java.org.jfree.data,gantt,2268,1277,0.5630511463844797,88,0.006398308481641815
data.jfreechart-master.src.main.java.org.jfree.data,general,5118,2845,0.5558812035951544,388,0.001432683514420501
data.jfreechart-master.src.main.java.org.jfree.data,io,186,95,0.510752688172043,12,0.04256272401433692
data.jfreechart-master.src.main.java.org.jfree.data.json,impl,720,398,0.5527777777777778,55,0.010050505050505051
data.jfreechart-master.src.main.java.org.jfree.data,json,187,85,0.45454545454545453,66,0.006887052341597796
data.jfreechart-master.src.main.java.org.jfree.data,resources,369,297,0.8048780487804879,18,0.044715447154471545
data.jfreechart-master.src.main.java.org.jfree.data,statistics,5745,3122,0.5434290687554395,299,0.001817488524265684
data.jfreechart-master.src.main.java.org.jfree.data.time,ohlc,854,520,0.6088992974238876,30,0.02029664324746292
data.jfreechart-master.src.main.java.org.jfree.data,time,10165,5541,0.5451057550418101,571,9.546510596178811E-4
data.jfreechart-master.src.main.java.org.jfree.data,xml,1147,703,0.6129032258064516,36,0.017025089605734768
data.jfreechart-master.src.main.java.org.jfree.data,xy,11546,7241,0.6271435995149836,436,0.001438402751181155
data.jfreechart-master.src.main.java.org.jfree,data,4735,2744,0.5795142555438226,2385,2.4298291637057552E-4
data.jfreechart-master.src.test.java.org.jfree.chart,annotations,2037,833,0.40893470790378006,20,0.020446735395189004
data.jfreechart-master.src.test.java.org.jfree.chart,api,87,41,0.47126436781609193,1,0.47126436781609193
data.jfreechart-master.src.test.java.org.jfree.chart,axis,5087,1888,0.3711421269903676,50,0.007422842539807351
data.jfreechart-master.src.test.java.org.jfree.chart,block,2012,757,0.37624254473161034,14,0.02687446748082931
data.jfreechart-master.src.test.java.org.jfree.chart,entity,809,379,0.4684796044499382,8,0.058559950556242274
data.jfreechart-master.src.test.java.org.jfree.chart,imagemap,348,230,0.6609195402298851,5,0.13218390804597702
data.jfreechart-master.src.test.java.org.jfree.chart,internal,539,264,0.4897959183673469,14,0.03498542274052478
data.jfreechart-master.src.test.java.org.jfree.chart,labels,2503,1133,0.452656811825809,33,0.013716873085630577
