chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
main.java.org.apache.commons.collections4,bag,2257,1160,0.51395657953035,112,0.004588898031520982
main.java.org.apache.commons.collections4,bidimap,3866,1484,0.38385928608380754,215,0.0017853920282967792
main.java.org.apache.commons.collections4.bloomfilter.hasher,function,381,201,0.5275590551181102,9,0.05861767279090113
main.java.org.apache.commons.collections4.bloomfilter,hasher,1193,782,0.6554903604358759,55,0.011918006553379563
main.java.org.apache.commons.collections4,bloomfilter,1395,819,0.5870967741935483,123,0.004773144505638604
main.java.org.apache.commons.collections4,collection,1890,1013,0.535978835978836,101,0.005306721148305307
main.java.org.apache.commons.collections4,comparators,1269,824,0.6493301812450749,63,0.010306828273731347
main.java.org.apache.commons.collections4,functors,4810,3053,0.6347193347193347,382,0.00166156893905585
main.java.org.apache.commons.collections4,iterators,5690,3330,0.5852372583479789,271,0.00215954707877483
main.java.org.apache.commons.collections4,keyvalue,938,572,0.6098081023454158,25,0.02439232409381663
main.java.org.apache.commons.collections4,list,4362,1990,0.45621274644658416,256,0.0017820810408069694
main.java.org.apache.commons.collections4,map,12596,6060,0.4811051127342013,771,6.240014432350212E-4
main.java.org.apache.commons.collections4,multimap,1875,659,0.35146666666666665,103,0.0034122977346278316
main.java.org.apache.commons.collections4,multiset,1507,589,0.39084273390842733,71,0.005504827238146864
main.java.org.apache.commons.collections4,properties,597,237,0.3969849246231156,14,0.028356066044508254
main.java.org.apache.commons.collections4,queue,958,468,0.48851774530271397,50,0.009770354906054279
main.java.org.apache.commons.collections4,sequence,960,698,0.7270833333333333,27,0.026929012345679012
main.java.org.apache.commons.collections4,set,2493,1274,0.51103088648215,117,0.004367785354548291
main.java.org.apache.commons.collections4,splitmap,313,173,0.5527156549520766,28,0.019739844819717023
main.java.org.apache.commons.collections4.trie,analyzer,108,30,0.2777777777777778,11,0.025252525252525252
main.java.org.apache.commons.collections4,trie,2629,849,0.32293647774819323,256,0.0012614706162038798
main.java.org.apache.commons,collections4,13584,9622,0.7083333333333334,3616,1.958886430678466E-4
jfreechart-master.src.main.java.org.jfree.chart,annotations,5638,2903,0.5148989003192621,251,0.002051390041112598
